# image table
# NumData 30
#   gid,                                               gname,    aif
      1,  02__Station13__Camera1__2012-8-22__20-26-14(7).JPG,  False
      2,   02__Station13__Camera1__2012-9-13__2-21-38(7).JPG,  False
      3,    02__Station16__Camera1__2012-7-26__7-13-0(3).JPG,  False
      4,   02__Station16__Camera1__2012-7-26__7-13-16(9).JPG,  False
      5,   02__Station18__Camera1__2012-7-29__4-49-36(4).JPG,  False
      6,   02__Station18__Camera1__2012-8-4__16-23-12(8).JPG,  False
      7,   02__Station18__Camera1__2012-8-4__16-23-22(2).JPG,  False
      8,     02__Station26__Camera2__2012-8-7__9-3-20(1).JPG,  False
      9,   02__Station26__Camera2__2012-9-22__1-26-38(8).JPG,  False
     10,   02__Station26__Camera2__2012-9-22__1-26-52(2).JPG,  False
     11,    02__Station31__Camera1__2012-9-16__4-6-58(8).JPG,  False
     12,    02__Station31__Camera2__2012-9-16__4-7-26(6).JPG,  False
     13,    02__Station31__Camera2__2012-9-16__4-7-40(0).JPG,  False
     14,   02__Station32__Camera1__2012-7-14__4-47-54(2).JPG,  False
     15,   02__Station32__Camera1__2012-7-14__4-47-58(6).JPG,  False
     16,   02__Station32__Camera1__2012-7-14__4-48-18(3).JPG,  False
     17,    02__Station32__Camera1__2012-7-14__4-48-8(4).JPG,  False
     18,   02__Station32__Camera1__2012-7-14__4-49-54(1).JPG,  False
     19,   02__Station32__Camera1__2012-8-31__5-17-18(7).JPG,  False
     20,    02__Station33__Camera1__2012-9-2__5-57-32(0).JPG,  False
     21,    02__Station33__Camera1__2012-9-2__5-57-34(4).JPG,  False
     22,    02__Station33__Camera1__2012-9-2__5-57-42(1).JPG,  False
     23,    02__Station33__Camera1__2012-9-2__5-57-44(6).JPG,  False
     24,    02__Station33__Camera1__2012-9-2__5-57-50(4).JPG,  False
     25,    02__Station33__Camera1__2012-9-2__5-58-16(2).JPG,  False
     26,   02__Station35__Camera1__2012-8-11__3-54-40(5).JPG,  False
     27,   02__Station35__Camera1__2012-8-11__3-54-42(8).JPG,  False
     28,    02__Station35__Camera1__2012-9-1__4-24-16(1).JPG,  False
     29,    02__Station35__Camera1__2012-9-1__4-24-58(1).JPG,  False
     30,   02__Station37__Camera1__2012-8-5__23-17-58(3).JPG,  False
