"Cat","HotSpotterCatName","winningLabel","CorrectIdentification","New Name"
"Cat21","cat_1","","0","01__Station04__Camera2__2012-7-22__1-53-20(0).JPG"
"Cat21","cat_1","","0","01__Station04__Camera2__2012-7-22__1-53-32(2).JPG"
"Cat23","cat_1","cat_1","1","01__Station04__Camera2__2012-9-17__19-42-18(9).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-55-50(7).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-55-50(8).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-55-52(0).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-55-52(9).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-34(1).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-34(2).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-36(3).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-36(4).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-36(5).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-38(6).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-56-38(7).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-16(8).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-16(9).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-18(0).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-18(1).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-2(0).JPG"
"Cat23","cat_1","cat_1","1","01__Station05__Camera1__2012-6-19__1-57-20(2).JPG"
"Cat23","cat_2","cat_1","0","01__Station05__Camera1__2012-7-16__15-14-48(1).JPG"
"Cat23","cat_2","cat_1","0","01__Station05__Camera1__2012-7-16__15-14-50(2).JPG"
"Cat23","cat_2","cat_1","0","01__Station05__Camera1__2012-7-16__15-14-50(3).JPG"
"Cat23","cat_3/cat_4","cat_1","0","01__Station05__Camera1__2012-9-10__11-48-2(9).JPG"
"Cat23","cat_3/cat_4","cat_1","0","01__Station05__Camera1__2012-9-10__11-48-22(1).JPG"
"Cat23","cat_3/cat_4","cat_1","0","01__Station05__Camera1__2012-9-10__11-48-26(2).JPG"
"Cat23","cat_3/cat_4","cat_1","0","01__Station05__Camera1__2012-9-10__11-48-28(3).JPG"
"Cat23","cat_3/cat_4","cat_1","0","01__Station05__Camera1__2012-9-10__11-48-28(4).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-26-0(9).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-26-10(0).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-26-10(1).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-26-10(2).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-26-12(3).JPG"
