"Cat","HotSpotterCatName","winningLabel","CorrectIdentification","New Name"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-36(7).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-38(9).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-46(7).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-48(8).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-48(9).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-50(0).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-50(1).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-53-58(9).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-54-0(0).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-54-0(1).JPG"
"Cat1","cat_1","cat_1","1","02__Station12__Camera2__2012-6-14__11-54-2(2).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-12(5).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-14(6).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-14(7).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-14(8).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-14(9).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-16(0).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-2(0).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-4(1).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-4(2).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-4(3).JPG"
"Cat3","cat_2","cat_2","1","02__Station13__Camera1__2012-8-22__20-26-6(4).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-7-24__21-55-26(0).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-7-24__21-55-30(1).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-7-24__21-55-30(2).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-7-24__21-55-30(3).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-7-24__21-55-32(4).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-8-8__18-14-42(6).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-8-8__18-14-42(7).JPG"
"Cat1","cat_3","cat_1","0","02__Station14__Camera1__2012-8-8__18-14-42(8).JPG"
