# image table
# NumData 30
#   gid,                                               gname,    aif
      1,   01__Station05__Camera1__2012-6-19__1-56-58(6).JPG,  False
      2,    01__Station05__Camera1__2012-6-19__1-56-6(6).JPG,  False
      3,    01__Station05__Camera1__2012-6-19__1-56-6(7).JPG,  False
      4,    01__Station05__Camera1__2012-6-19__1-56-6(8).JPG,  False
      5,    01__Station05__Camera1__2012-6-19__1-56-8(0).JPG,  False
      6,    01__Station05__Camera1__2012-6-19__1-56-8(9).JPG,  False
      7,   01__Station05__Camera1__2012-6-19__1-57-24(9).JPG,  False
      8,   01__Station05__Camera1__2012-6-19__1-57-30(1).JPG,  False
      9,   01__Station05__Camera1__2012-6-19__1-57-30(2).JPG,  False
     10,   01__Station05__Camera1__2012-6-19__1-57-30(3).JPG,  False
     11,  01__Station05__Camera1__2012-7-16__15-14-30(4).JPG,  False
     12,  01__Station05__Camera1__2012-7-16__15-14-32(5).JPG,  False
     13,  01__Station05__Camera1__2012-7-16__15-14-32(6).JPG,  False
     14,  01__Station05__Camera1__2012-7-16__15-14-32(7).JPG,  False
     15,   01__Station14__Camera1__2012-8-30__16-8-12(6).JPG,  False
     16,   01__Station14__Camera1__2012-8-30__16-8-12(7).JPG,  False
     17,   01__Station14__Camera1__2012-8-30__16-8-12(8).JPG,  False
     18,   02__Station06__Camera1__2012-7-10__3-22-58(9).JPG,  False
     19,    02__Station06__Camera1__2012-7-10__3-22-8(2).JPG,  False
     20,   02__Station06__Camera1__2012-7-10__3-23-10(0).JPG,  False
     21,   02__Station06__Camera1__2012-7-10__3-23-12(1).JPG,  False
     22,   02__Station06__Camera1__2012-7-10__3-23-12(2).JPG,  False
     23,   02__Station06__Camera1__2012-7-10__3-23-14(3).JPG,  False
     24,   02__Station06__Camera1__2012-7-10__3-23-14(4).JPG,  False
     25,  02__Station09__Camera2__2012-9-16__18-51-12(3).JPG,  False
     26,  02__Station09__Camera2__2012-9-16__18-51-22(2).JPG,  False
     27,   02__Station12__Camera2__2012-5-4__22-22-16(7).JPG,  False
     28,   02__Station12__Camera2__2012-5-4__22-22-18(8).JPG,  False
     29,   02__Station12__Camera2__2012-5-4__22-22-18(9).JPG,  False
     30,    02__Station12__Camera2__2012-5-4__22-22-2(2).JPG,  False
