"Cat","HotSpotterCatName","New Name"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-52(6).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-52(7).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-54(0).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-54(8).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-54(9).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-56(1).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-56(2).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-58(3).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-58(4).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-58(5).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-57-6(0).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-58-14(7).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-58-8(9).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-59-10(3).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-59-10(4).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-59-10(5).JPG"
"Cat13\Cat14\Cat15","cat_1","02__Station24__Camera1__2012-9-14__16-59-12(6).JPG"
"Cat5","cat_2","02__Station26__Camera1__2012-8-19__16-13-58(8).JPG"
"Cat5","cat_2","02__Station26__Camera1__2012-8-19__16-14-0(0).JPG"
"Cat5","cat_2","02__Station26__Camera1__2012-8-19__16-14-0(1).JPG"
"Cat5","cat_2","02__Station26__Camera1__2012-8-19__16-14-0(2).JPG"
"Cat5","cat_3","02__Station26__Camera1__2012-8-27__4-36-4(4).JPG"
"Cat5","cat_3","02__Station26__Camera1__2012-9-11__5-48-20(0).JPG"
"Cat5","cat_3","02__Station26__Camera1__2012-9-11__5-48-6(7).JPG"
"Cat1","cat_3","02__Station26__Camera1__2012-9-22__1-27-14(5).JPG"
"Cat1","cat_3","02__Station26__Camera1__2012-9-22__1-27-52(3).JPG"
"Cat1","cat_3","02__Station26__Camera1__2012-9-22__1-30-22(3).JPG"
"Cat5","cat_3","02__Station26__Camera2__2012-8-7__9-3-22(2).JPG"
"Cat5","cat_3","02__Station26__Camera2__2012-8-7__9-3-22(3).JPG"
"Cat5","cat_3","02__Station26__Camera2__2012-8-7__9-3-24(4).JPG"
