"Cat","HotSpotterCatName","winningLabel","CorrectIdentification","New Name"
"Cat2","cat_1","cat_1","1","02__Station06__Camera1__2012-7-10__3-23-16(8).JPG"
"Cat2","cat_1","cat_1","1","02__Station06__Camera1__2012-7-10__3-23-16(9).JPG"
"Cat2","cat_1","cat_1","1","02__Station06__Camera1__2012-7-10__3-23-18(0).JPG"
"Cat2","cat_1","cat_1","1","02__Station06__Camera1__2012-7-10__3-23-18(1).JPG"
"Cat2","cat_1","cat_1","1","02__Station06__Camera1__2012-7-10__3-23-20(2).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-36(4).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-36(5).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-38(6).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-38(7).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-38(8).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-40(0).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-40(9).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-50(1).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-50(2).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-52(3).JPG"
"Cat1","cat_2","cat_2","1","02__Station13__Camera1__2012-8-16__23-48-52(4).JPG"
"Cat1","cat_3","cat_2","0","02__Station13__Camera1__2012-9-13__2-21-32(9).JPG"
"Cat1","cat_3","cat_2","0","02__Station13__Camera1__2012-9-13__2-21-34(0).JPG"
"Cat1","cat_3","cat_2","0","02__Station13__Camera1__2012-9-13__2-21-34(1).JPG"
"Cat1","cat_3","cat_2","0","02__Station13__Camera1__2012-9-13__2-21-36(2).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-4__2-6-22(2).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-4__2-6-50(0).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-9__4-2-28(9).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-9__4-3-2(3).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-9__4-3-58(8).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-9__4-4-24(5).JPG"
"Cat11\Cat12","cat_4","cat_4","1","02__Station22__Camera1__2012-5-9__4-4-40(0).JPG"
"Cat1","cat_4","cat_2","0","02__Station22__Camera1__2012-6-25__2-40-22(3).JPG"
"Cat1","cat_4","cat_2","0","02__Station22__Camera1__2012-6-25__2-40-36(6).JPG"
"Cat5","cat_4","cat_2, cat_4","0","02__Station23__Camera1__2012-9-9__21-28-48(8).JPG"
"Cat5","cat_2, cat_4","cat_2, cat_4","1","02__Station24__Camera1__2012-8-14__4-19-42(1).JPG"
