Cat ID,Image Name,Study ID, Station, Camera, Date, Time
Cat_1,02__Station32__Camera1__2012-7-14__4-48-28(4).JPG,02,Station32,Camera1,2012-7-14,4-48-28
Cat_1,02__Station32__Camera1__2012-7-14__4-48-6(2).JPG,02,Station32,Camera1,2012-7-14,4-48-6
Cat_1,02__Station32__Camera1__2012-7-14__4-48-8(5).JPG,02,Station32,Camera1,2012-7-14,4-48-8
Cat_1,02__Station32__Camera1__2012-7-14__4-49-10(0).JPG,02,Station32,Camera1,2012-7-14,4-49-10
Cat_1,02__Station32__Camera1__2012-7-14__4-49-16(1).JPG,02,Station32,Camera1,2012-7-14,4-49-16
Cat_1,02__Station32__Camera1__2012-7-14__4-49-38(4).JPG,02,Station32,Camera1,2012-7-14,4-49-38
Cat_1,02__Station32__Camera1__2012-7-14__4-49-56(2).JPG,02,Station32,Camera1,2012-7-14,4-49-56
Cat_1,02__Station32__Camera1__2012-7-14__4-49-8(7).JPG,02,Station32,Camera1,2012-7-14,4-49-8
Cat_1,02__Station35__Camera1__2012-8-11__3-54-38(0).JPG,02,Station35,Camera1,2012-8-11,3-54-38
Cat_2,02__Station32__Camera1__2012-8-10__21-8-10(1).JPG,02,Station32,Camera1,2012-8-10,21-8-10
Cat_2,02__Station32__Camera1__2012-8-10__21-8-14(5).JPG,02,Station32,Camera1,2012-8-10,21-8-14
Cat_2,02__Station32__Camera1__2012-8-10__21-8-16(8).JPG,02,Station32,Camera1,2012-8-10,21-8-16
Cat_2,02__Station32__Camera1__2012-8-10__21-8-6(9).JPG,02,Station32,Camera1,2012-8-10,21-8-6
Cat_2,02__Station32__Camera1__2012-8-31__5-17-12(1).JPG,02,Station32,Camera1,2012-8-31,5-17-12
Cat_2,02__Station32__Camera1__2012-8-31__5-17-26(6).JPG,02,Station32,Camera1,2012-8-31,5-17-26
Cat_2,02__Station32__Camera1__2012-8-31__5-17-28(8).JPG,02,Station32,Camera1,2012-8-31,5-17-28
Cat_2,02__Station32__Camera1__2012-8-31__5-17-28(9).JPG,02,Station32,Camera1,2012-8-31,5-17-28
Cat_2,02__Station32__Camera1__2012-8-31__5-17-32(2).JPG,02,Station32,Camera1,2012-8-31,5-17-32
Cat_2,02__Station32__Camera1__2012-8-31__5-17-32(3).JPG,02,Station32,Camera1,2012-8-31,5-17-32
Cat_2,02__Station32__Camera1__2012-9-16__0-48-28(5).JPG,02,Station32,Camera1,2012-9-16,0-48-28
Cat_3,02__Station33__Camera1__2012-8-25__16-16-52(1).JPG,02,Station33,Camera1,2012-8-25,16-16-52
Cat_3,02__Station33__Camera1__2012-8-25__16-16-54(4).JPG,02,Station33,Camera1,2012-8-25,16-16-54
Cat_4,02__Station33__Camera1__2012-9-2__5-57-12(2).JPG,02,Station33,Camera1,2012-9-2,5-57-12
Cat_4,02__Station33__Camera1__2012-9-2__5-57-12(3).JPG,02,Station33,Camera1,2012-9-2,5-57-12
Cat_4,02__Station33__Camera1__2012-9-2__5-58-16(4).JPG,02,Station33,Camera1,2012-9-2,5-58-16
Cat_5,02__Station35__Camera1__2012-9-1__4-24-22(0).JPG,02,Station35,Camera1,2012-9-1,4-24-22
Cat_5,02__Station35__Camera1__2012-9-1__4-25-2(7).JPG,02,Station35,Camera1,2012-9-1,4-25-2
Cat_5,02__Station35__Camera1__2012-9-1__4-25-2(8).JPG,02,Station35,Camera1,2012-9-1,4-25-2
Cat_5,02__Station35__Camera1__2012-9-1__4-25-30(2).JPG,02,Station35,Camera1,2012-9-1,4-25-30
Cat_5,02__Station35__Camera1__2012-9-1__4-25-8(5).JPG,02,Station35,Camera1,2012-9-1,4-25-8
Cat_5,02__Station35__Camera1__2012-9-1__4-25-8(7).JPG,02,Station35,Camera1,2012-9-1,4-25-8
