"Cat","HotSpotterCatName","New Name"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-48-28(4).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-48-6(2).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-48-8(5).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-10(0).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-16(1).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-38(4).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-56(2).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-8(7).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-8-10(1).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-8-14(5).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-8-16(8).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-8-6(9).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-12(1).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-26(6).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-28(8).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-28(9).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-32(2).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-32(3).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-9-16__0-48-28(5).JPG"
"Cat16\Cat17\Cat18","cat_3","02__Station33__Camera1__2012-8-25__16-16-52(1).JPG"
"Cat16\Cat17\Cat18","cat_3","02__Station33__Camera1__2012-8-25__16-16-54(4).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-57-12(2).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-57-12(3).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-58-16(4).JPG"
"Cat1","cat_1","02__Station35__Camera1__2012-8-11__3-54-38(0).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-24-22(0).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-25-2(7).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-25-2(8).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-25-30(2).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-25-8(5).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-9-1__4-25-8(7).JPG"
