"Cat","HotSpotterCatName","winningLabel","CorrectIdentification","New Name"
"Cat11\Cat12","cat_3","cat_2, cat_3","0","02__Station10__Camera1__2012-9-9__4-55-42(5).JPG"
"Cat11\Cat12","cat_3","cat_2, cat_3","0","02__Station10__Camera1__2012-9-9__4-56-40(6).JPG"
"Cat11\Cat12","cat_3","cat_2, cat_3","0","02__Station12__Camera2__2012-5-4__22-21-52(2).JPG"
"Cat11\Cat12","cat_3","cat_2, cat_3","0","02__Station12__Camera2__2012-5-4__22-22-54(4).JPG"
"Cat4","cat_1","cat_1","1","02__Station13__Camera1__2012-7-18__6-47-0(7).JPG"
"Cat4","cat_1","cat_1","1","02__Station13__Camera1__2012-7-18__6-47-42(7).JPG"
"Cat1","cat_3","cat_3","1","02__Station13__Camera1__2012-8-16__23-48-40(9).JPG"
"Cat11\Cat12","cat_2, cat_3","cat_2, cat_3","1","02__Station13__Camera1__2012-8-6__12-17-42(4).JPG"
"Cat11\Cat12","cat_2","cat_2, cat_3","0","02__Station13__Camera1__2012-8-6__12-18-12(6).JPG"
"Cat1","cat_3","cat_3","1","02__Station13__Camera1__2012-9-13__2-21-22(2).JPG"
"Cat1","cat_3","cat_3","1","02__Station13__Camera1__2012-9-13__2-21-30(4).JPG"
"Cat1","cat_3","cat_3","1","02__Station13__Camera1__2012-9-13__2-21-52(5).JPG"
"Cat1","cat_3","cat_3","1","02__Station14__Camera1__2012-7-24__21-55-30(1).JPG"
"Cat1","cat_3","cat_3","1","02__Station14__Camera1__2012-8-8__18-14-40(4).JPG"
"Cat11","cat_3","","0","02__Station19__Camera2__2012-6-21__1-34-50(1).JPG"
"Cat1","cat_3","cat_3","1","02__Station22__Camera1__2012-6-25__2-40-36(6).JPG"
"Cat13","cat_4","cat_4","1","02__Station24__Camera1__2012-8-28__1-55-54(8).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__16-56-48(8).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__16-56-58(8).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__16-56-58(9).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__16-58-40(4).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__16-58-48(5).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-11-46(5).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-12-34(6).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-2-0(1).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-2-14(1).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-6-38(7).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-6-40(9).JPG"
"Cat13\Cat14\Cat15","cat_5","cat_5","1","02__Station24__Camera1__2012-9-14__17-9-30(7).JPG"
"Cat5","cat_3","","0","02__Station24__Camera1__2013-1-7__11-14-30(6).JPG"
"Cat5","cat_3","","0","02__Station24__Camera1__2013-1-7__11-14-30(9).JPG"
