"Cat","HotSpotterCatName","New Name"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-34(1).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-34(2).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-36(3).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-36(4).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-36(5).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-38(6).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-38(7).JPG"
"Cat11\Cat12","cat_1","02__Station18__Camera1__2012-7-29__4-49-38(8).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-42(4).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-42(5).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-42(6).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-44(0).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-44(7).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-6(1).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-8(2).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-8(3).JPG"
"Cat1","cat_2","02__Station18__Camera1__2012-8-4__16-23-8(4).JPG"
"Cat12","cat_3","02__Station19__Camera2__2012-6-18__7-17-24(5).JPG"
"Cat5","cat_3","02__Station24__Camera1__2012-8-14__4-19-44(3).JPG"
"Cat5","cat_3","02__Station24__Camera1__2012-8-14__4-19-44(4).JPG"
"Cat5","cat_3","02__Station24__Camera1__2012-8-14__4-19-44(5).JPG"
"Cat5","cat_3","02__Station24__Camera1__2012-8-14__4-19-46(6).JPG"
"Cat5","cat_3","02__Station24__Camera1__2012-8-14__4-19-46(7).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-0(6).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-0(7).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-0(8).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-10(1).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-10(2).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-12(3).JPG"
"Cat13\Cat14\Cat15","cat_4","02__Station24__Camera1__2012-9-14__16-58-12(4).JPG"
