# image table
# NumData 30
#   gid,                                               gname,    aif
      1,  02__Station24__Camera1__2012-9-14__16-57-52(6).JPG,  False
      2,  02__Station24__Camera1__2012-9-14__16-57-52(7).JPG,  False
      3,  02__Station24__Camera1__2012-9-14__16-57-54(0).JPG,  False
      4,  02__Station24__Camera1__2012-9-14__16-57-54(8).JPG,  False
      5,  02__Station24__Camera1__2012-9-14__16-57-54(9).JPG,  False
      6,  02__Station24__Camera1__2012-9-14__16-57-56(1).JPG,  False
      7,  02__Station24__Camera1__2012-9-14__16-57-56(2).JPG,  False
      8,  02__Station24__Camera1__2012-9-14__16-57-58(3).JPG,  False
      9,  02__Station24__Camera1__2012-9-14__16-57-58(4).JPG,  False
     10,  02__Station24__Camera1__2012-9-14__16-57-58(5).JPG,  False
     11,   02__Station24__Camera1__2012-9-14__16-57-6(0).JPG,  False
     12,  02__Station24__Camera1__2012-9-14__16-58-14(7).JPG,  False
     13,   02__Station24__Camera1__2012-9-14__16-58-8(9).JPG,  False
     14,  02__Station24__Camera1__2012-9-14__16-59-10(3).JPG,  False
     15,  02__Station24__Camera1__2012-9-14__16-59-10(4).JPG,  False
     16,  02__Station24__Camera1__2012-9-14__16-59-10(5).JPG,  False
     17,  02__Station24__Camera1__2012-9-14__16-59-12(6).JPG,  False
     18,  02__Station26__Camera1__2012-8-19__16-13-58(8).JPG,  False
     19,   02__Station26__Camera1__2012-8-19__16-14-0(0).JPG,  False
     20,   02__Station26__Camera1__2012-8-19__16-14-0(1).JPG,  False
     21,   02__Station26__Camera1__2012-8-19__16-14-0(2).JPG,  False
     22,    02__Station26__Camera1__2012-8-27__4-36-4(4).JPG,  False
     23,   02__Station26__Camera1__2012-9-11__5-48-20(0).JPG,  False
     24,    02__Station26__Camera1__2012-9-11__5-48-6(7).JPG,  False
     25,   02__Station26__Camera1__2012-9-22__1-27-14(5).JPG,  False
     26,   02__Station26__Camera1__2012-9-22__1-27-52(3).JPG,  False
     27,   02__Station26__Camera1__2012-9-22__1-30-22(3).JPG,  False
     28,     02__Station26__Camera2__2012-8-7__9-3-22(2).JPG,  False
     29,     02__Station26__Camera2__2012-8-7__9-3-22(3).JPG,  False
     30,     02__Station26__Camera2__2012-8-7__9-3-24(4).JPG,  False
