# image table
# NumData 30
#   gid,                                               gname,    aif
      1,   01__Station05__Camera1__2012-6-19__1-55-42(7).JPG,  False
      2,   01__Station05__Camera1__2012-6-19__1-55-46(1).JPG,  False
      3,   01__Station05__Camera1__2012-6-19__1-55-50(8).JPG,  False
      4,   01__Station05__Camera1__2012-6-19__1-56-14(2).JPG,  False
      5,    01__Station05__Camera1__2012-6-19__1-56-4(5).JPG,  False
      6,  02__Station13__Camera1__2012-8-22__20-24-26(1).JPG,  False
      7,  02__Station13__Camera1__2012-8-22__20-24-26(2).JPG,  False
      8,  02__Station13__Camera1__2012-8-22__20-24-28(3).JPG,  False
      9,  02__Station13__Camera1__2012-8-22__20-24-28(4).JPG,  False
     10,  02__Station13__Camera1__2012-8-22__20-24-34(2).JPG,  False
     11,  02__Station13__Camera1__2012-8-22__20-24-36(3).JPG,  False
     12,  02__Station13__Camera1__2012-8-22__20-24-42(2).JPG,  False
     13,  02__Station13__Camera1__2012-8-22__20-24-58(1).JPG,  False
     14,  02__Station13__Camera1__2012-8-22__20-25-20(3).JPG,  False
     15,   02__Station13__Camera1__2012-8-22__20-26-8(8).JPG,  False
     16,   02__Station13__Camera1__2012-9-13__2-21-32(8).JPG,  False
     17,   02__Station13__Camera1__2012-9-13__2-21-32(9).JPG,  False
     18,   02__Station13__Camera1__2012-9-13__2-21-34(0).JPG,  False
     19,   02__Station13__Camera1__2012-9-13__2-21-34(1).JPG,  False
     20,   02__Station13__Camera1__2012-9-13__2-21-36(2).JPG,  False
     21,   02__Station13__Camera1__2012-9-13__2-21-52(3).JPG,  False
     22,   02__Station18__Camera1__2012-7-29__4-49-38(6).JPG,  False
     23,   02__Station18__Camera1__2012-7-29__4-49-46(0).JPG,  False
     24,   02__Station18__Camera1__2012-7-29__4-49-56(2).JPG,  False
     25,   02__Station18__Camera1__2012-7-29__4-49-58(6).JPG,  False
     26,   02__Station18__Camera1__2012-7-29__4-50-32(0).JPG,  False
     27,   02__Station18__Camera1__2012-8-4__16-23-10(6).JPG,  False
     28,   02__Station18__Camera1__2012-8-4__16-23-12(9).JPG,  False
     29,   02__Station18__Camera1__2012-8-4__16-23-16(4).JPG,  False
     30,   02__Station18__Camera1__2012-8-4__16-23-28(0).JPG,  False
