# chip table
# NumData 83
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,      [984 632 660 448],    0.0
         2,      1,       0,      [772 480 524 208],    0.0
         3,      1,       0,  [1168  176  460  233],    0.0
         4,      2,       0,  [1264  310  381  770],    0.0
         5,      2,       0,      [448 544 864 131],    0.0
         6,      3,       0,      [877 320 602 453],    0.0
         7,      3,       0,  [1279  720  373  360],    0.0
         8,      4,       0,  [1024  529  291  474],    0.0
         9,      4,       0,      [  0 712 487 207],    0.0
        10,      4,       0,  [1348 1080  299  190],    0.0
        11,      5,       0,  [1064  530  251  497],    0.0
        12,      5,       0,      [  0 704 477 141],    0.0
        13,      5,       0,  [1348 1112  315  149],    0.0
        14,      5,       0,  [1024  512   71  442],    0.0
        15,      6,       0,  [1064  528  250  499],    0.0
        16,      6,       0,      [  0 704 505 149],    0.0
        17,      6,       0,  [1439 1120  217  190],    0.0
        18,      6,       0,      [944 518 151 199],    0.0
        19,      7,       0,  [1064  529  249  499],    0.0
        20,      7,       0,      [  0 696 519 155],    0.0
        21,      7,       0,  [1443 1168  229  151],    0.0
        22,      7,       0,      [928 522 167 191],    0.0
        23,      8,       0,  [1048  530  274  520],    0.0
        24,      8,       0,      [  0 704 524 147],    0.0
        25,      8,       0,      [877 544 205 205],    0.0
        26,      8,       0,  [1107  992  272  140],    0.0
        27,      9,       0,  [1072  551  225  587],    0.0
        28,      9,       0,  [1272  874  245  436],    0.0
        29,     10,       0,  [1064  569  237  574],    0.0
        30,     10,       0,  [1177 1072  255  217],    0.0
        31,     10,       0,  [1008  549   86  467],    0.0
        32,     11,       0,  [1072  665  279  480],    0.0
        33,     11,       0,  [1239 1086  200  200],    0.0
        34,     11,       0,  [1062  552  230  173],    0.0
        35,     12,       0,      [888 625 407 414],    0.0
        36,     12,       0,  [1248  746  184  301],    0.0
        37,     13,       0,      [896 607 379 449],    0.0
        38,     13,       0,  [1232  811  152  280],    0.0
        39,     14,       0,      [856 651 348 382],    0.0
        40,     14,       0,  [1161  891  203  203],    0.0
        41,     15,       0,      [880 616 262 432],    0.0
        42,     15,       0,  [1144  891  211  214],    0.0
        43,     15,       0,  [1336  994  147  181],    0.0
        44,     16,       0,      [856 669 315 364],    0.0
        45,     16,       0,  [1157  976  330  142],    0.0
        46,     16,       0,      [887 584 215 130],    0.0
        47,     17,       0,  [1208  230  433  668],    0.0
        48,     17,       0,      [647 448 615 270],    0.0
        49,     18,       0,      [642 448 812 277],    0.0
        50,     18,       0,      [520 564 187 516],    0.0
        51,     18,       0,  [1158  240  390  243],    0.0
        52,     19,       0,      [722 416 729 306],    0.0
        53,     19,       0,      [528 557 252 406],    0.0
        54,     19,       0,  [1239  248  284  206],    0.0
        55,     20,       0,      [710 416 790 313],    0.0
        56,     20,       0,      [544 529 259 400],    0.0
        57,     21,       0,      [680 424 880 282],    0.0
        58,     21,       0,  [1272  671  364  409],    0.0
        59,     21,       0,  [1093  240  467  219],    0.0
        60,     22,       0,      [685 424 934 279],    0.0
        61,     22,       0,  [1312  669  297  411],    0.0
        62,     22,       0,  [1098  208  463  251],    0.0
        63,     23,       0,      [720 408 864 307],    0.0
        64,     23,       0,  [1328  677  281  403],    0.0
        65,     23,       0,      [560 494 268 372],    0.0
        66,     24,       0,      [680 424 917 289],    0.0
        67,     24,       0,  [1360  677  274  403],    0.0
        68,     24,       0,      [544 507 251 351],    0.0
        69,     25,       0,      [706 416 808 307],    0.0
        70,     25,       0,  [1136  216  435  238],    0.0
        71,     25,       0,      [552 505 255 316],    0.0
        72,     26,       0,      [715 416 798 303],    0.0
        73,     26,       0,  [1162  192  429  262],    0.0
        74,     26,       0,      [560 497 255 364],    0.0
        75,     27,       0,  [ 601  448 1069  304],    0.0
        76,     27,       0,  [1296    0  270  486],    0.0
        77,     27,       0,      [608 232 127 605],    0.0
        78,     27,       0,      [720 720 828  62],    0.0
        79,     28,       0,  [1064  486  261  297],    0.0
        80,     28,       0,  [1583  563  163  163],    0.0
        81,     28,       0,  [1688 1424  219  112],    0.0
        82,     28,       0,  [1648 1376  181   62],    0.0
        83,     28,       0,  [1064  486   33  339],    0.0
