# image table
# NumData 31
#   gid,                                               gname,    aif
      1,   01__Station05__Camera1__2012-6-14__5-38-22(3).JPG,  False
      2,   01__Station05__Camera1__2012-6-14__5-38-24(4).JPG,  False
      3,   01__Station05__Camera1__2012-6-14__5-38-24(5).JPG,  False
      4,   01__Station05__Camera1__2012-6-14__5-39-18(2).JPG,  False
      5,   01__Station05__Camera1__2012-6-14__5-39-18(3).JPG,  False
      6,   01__Station05__Camera1__2012-6-14__5-39-20(4).JPG,  False
      7,   01__Station05__Camera1__2012-6-14__5-39-20(5).JPG,  False
      8,   01__Station05__Camera1__2012-6-19__1-57-20(3).JPG,  False
      9,   01__Station05__Camera1__2012-6-19__1-57-20(4).JPG,  False
     10,   01__Station05__Camera1__2012-6-19__1-57-22(5).JPG,  False
     11,   01__Station05__Camera1__2012-6-19__1-57-22(6).JPG,  False
     12,   01__Station05__Camera1__2012-6-19__1-57-22(7).JPG,  False
     13,  01__Station05__Camera1__2012-7-16__15-14-34(0).JPG,  False
     14,  01__Station05__Camera1__2012-7-16__15-14-34(8).JPG,  False
     15,  01__Station05__Camera1__2012-7-16__15-14-34(9).JPG,  False
     16,   01__Station05__Camera1__2012-7-26__13-26-4(0).JPG,  False
     17,   01__Station05__Camera1__2012-7-26__13-26-4(9).JPG,  False
     18,  01__Station05__Camera1__2012-9-10__11-48-16(5).JPG,  False
     19,  01__Station05__Camera1__2012-9-10__11-48-16(6).JPG,  False
     20,   01__Station14__Camera1__2012-8-30__16-8-14(0).JPG,  False
     21,   01__Station14__Camera1__2012-8-30__16-8-14(1).JPG,  False
     22,   01__Station14__Camera1__2012-8-30__16-8-14(9).JPG,  False
     23,   01__Station14__Camera1__2012-8-30__16-8-16(2).JPG,  False
     24,   01__Station14__Camera1__2012-8-30__16-8-46(5).JPG,  False
     25,   01__Station14__Camera1__2012-8-30__16-8-46(6).JPG,  False
     26,   01__Station14__Camera1__2012-8-30__16-8-46(7).JPG,  False
     27,   02__Station04__Camera1__2012-7-5__12-17-34(1).JPG,  False
     28,   02__Station04__Camera1__2012-7-5__12-17-34(2).JPG,  False
     29,   02__Station04__Camera1__2012-7-5__12-17-36(3).JPG,  False
     30,   02__Station04__Camera1__2012-7-5__12-17-36(4).JPG,  False
     31,   02__Station04__Camera1__2012-7-5__12-17-38(5).JPG,  False
