"Cat","HotSpotterCatName","New Name"
"Cat5","cat_1","02__Station26__Camera2__2012-8-7__9-3-22(2).JPG"
"Cat5","cat_1","02__Station26__Camera2__2012-8-7__9-3-24(4).JPG"
"Cat1","cat_2","02__Station31__Camera1__2012-9-16__4-7-12(2).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-7-14__4-47-56(3).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-7-14__4-48-12(8).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-7-14__4-49-20(6).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-7-58(2).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-10__21-8-10(2).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-24(4).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-30(0).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-30(1).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-34(4).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-34(5).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-36(6).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-8-31__5-17-36(7).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-9-16__0-48-20(7).JPG"
"Cat1","cat_2","02__Station32__Camera1__2012-9-16__0-48-30(6).JPG"
"Cat16\Cat17\Cat18","cat_3","02__Station33__Camera1__2012-8-25__16-16-52(3).JPG"
"Cat16\Cat17\Cat18","cat_3","02__Station33__Camera1__2012-8-25__16-17-2(2).JPG"
"Cat16\Cat17\Cat18","cat_3","02__Station33__Camera1__2012-8-25__16-17-4(3).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-57-10(1).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-57-24(9).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-57-54(0).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-58-2(0).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-58-22(1).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-58-22(3).JPG"
"Cat1","cat_4","02__Station33__Camera1__2012-9-2__5-58-24(4).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-8-11__3-54-38(1).JPG"
"Cat1","cat_5","02__Station35__Camera1__2012-8-11__3-54-42(7).JPG"
"Cat1","cat_2","02__Station35__Camera1__2012-9-1__4-25-0(5).JPG"
