"Cat","HotSpotterCatName","New Name"
"Cat21","cat_1","01__Station14__Camera1__2012-8-30__16-8-20(9).JPG"
"Cat21","cat_1","01__Station14__Camera1__2012-8-30__16-8-28(1).JPG"
"Cat21","cat_1","01__Station14__Camera1__2012-8-30__16-8-28(2).JPG"
"Cat21","cat_1","01__Station14__Camera1__2012-8-30__16-8-28(3).JPG"
"Cat21","cat_1","01__Station14__Camera1__2012-8-30__16-8-30(4).JPG"
"Cat1","cat_2","02__Station04__Camera1__2012-7-5__12-17-40(8).JPG"
"Cat1","cat_2","02__Station04__Camera1__2012-7-5__12-17-40(9).JPG"
"Cat1","cat_2","02__Station04__Camera1__2012-7-5__12-17-42(0).JPG"
"Cat1","cat_2","02__Station04__Camera1__2012-7-5__12-17-46(1).JPG"
"Cat1","cat_2","02__Station04__Camera1__2012-7-5__12-17-46(2).JPG"
"Cat2","cat_3","02__Station06__Camera1__2012-8-18__8-30-8(3).JPG"
"Cat2","cat_3","02__Station06__Camera1__2012-8-18__8-30-8(4).JPG"
"Cat3","cat_4","02__Station07__Camera1__2012-8-24__1-52-36(1).JPG"
"Cat3","cat_4","02__Station07__Camera1__2012-8-24__1-52-36(2).JPG"
"Cat3","cat_4","02__Station07__Camera1__2012-8-24__1-52-38(3).JPG"
"Cat3","cat_5","02__Station09__Camera2__2012-9-16__18-51-14(5).JPG"
"Cat3","cat_5","02__Station09__Camera2__2012-9-16__18-51-14(6).JPG"
"Cat3","cat_5","02__Station09__Camera2__2012-9-16__18-51-16(7).JPG"
"Cat3","cat_5","02__Station09__Camera2__2012-9-16__18-51-18(8).JPG"
"Cat3","cat_5","02__Station09__Camera2__2012-9-16__18-51-18(9).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-54-56(1).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-54-56(2).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-55-40(3).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-55-40(4).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-55-42(5).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-56-40(6).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-56-42(7).JPG"
"Cat11\Cat12","cat_6","02__Station10__Camera1__2012-9-9__4-56-42(8).JPG"
"Cat11\Cat12","cat_2","02__Station12__Camera2__2012-5-30__0-40-34(4).JPG"
"Cat11\Cat12","cat_7","02__Station12__Camera2__2012-5-4__22-21-48(8).JPG"
