# image table
# NumData 30
#   gid,                                               gname,    aif
      1,  02__Station12__Camera2__2012-6-14__11-53-36(7).JPG,  False
      2,  02__Station12__Camera2__2012-6-14__11-53-38(9).JPG,  False
      3,  02__Station12__Camera2__2012-6-14__11-53-46(7).JPG,  False
      4,  02__Station12__Camera2__2012-6-14__11-53-48(8).JPG,  False
      5,  02__Station12__Camera2__2012-6-14__11-53-48(9).JPG,  False
      6,  02__Station12__Camera2__2012-6-14__11-53-50(0).JPG,  False
      7,  02__Station12__Camera2__2012-6-14__11-53-50(1).JPG,  False
      8,  02__Station12__Camera2__2012-6-14__11-53-58(9).JPG,  False
      9,   02__Station12__Camera2__2012-6-14__11-54-0(0).JPG,  False
     10,   02__Station12__Camera2__2012-6-14__11-54-0(1).JPG,  False
     11,   02__Station12__Camera2__2012-6-14__11-54-2(2).JPG,  False
     12,  02__Station13__Camera1__2012-8-22__20-26-12(5).JPG,  False
     13,  02__Station13__Camera1__2012-8-22__20-26-14(6).JPG,  False
     14,  02__Station13__Camera1__2012-8-22__20-26-14(7).JPG,  False
     15,  02__Station13__Camera1__2012-8-22__20-26-14(8).JPG,  False
     16,  02__Station13__Camera1__2012-8-22__20-26-14(9).JPG,  False
     17,  02__Station13__Camera1__2012-8-22__20-26-16(0).JPG,  False
     18,   02__Station13__Camera1__2012-8-22__20-26-2(0).JPG,  False
     19,   02__Station13__Camera1__2012-8-22__20-26-4(1).JPG,  False
     20,   02__Station13__Camera1__2012-8-22__20-26-4(2).JPG,  False
     21,   02__Station13__Camera1__2012-8-22__20-26-4(3).JPG,  False
     22,   02__Station13__Camera1__2012-8-22__20-26-6(4).JPG,  False
     23,  02__Station14__Camera1__2012-7-24__21-55-26(0).JPG,  False
     24,  02__Station14__Camera1__2012-7-24__21-55-30(1).JPG,  False
     25,  02__Station14__Camera1__2012-7-24__21-55-30(2).JPG,  False
     26,  02__Station14__Camera1__2012-7-24__21-55-30(3).JPG,  False
     27,  02__Station14__Camera1__2012-7-24__21-55-32(4).JPG,  False
     28,   02__Station14__Camera1__2012-8-8__18-14-42(6).JPG,  False
     29,   02__Station14__Camera1__2012-8-8__18-14-42(7).JPG,  False
     30,   02__Station14__Camera1__2012-8-8__18-14-42(8).JPG,  False
