# image table
# NumData 30
#   gid,                                               gname,    aif
      1,     02__Station26__Camera2__2012-8-7__9-3-22(2).JPG,  False
      2,     02__Station26__Camera2__2012-8-7__9-3-24(4).JPG,  False
      3,    02__Station31__Camera1__2012-9-16__4-7-12(2).JPG,  False
      4,   02__Station32__Camera1__2012-7-14__4-47-56(3).JPG,  False
      5,   02__Station32__Camera1__2012-7-14__4-48-12(8).JPG,  False
      6,   02__Station32__Camera1__2012-7-14__4-49-20(6).JPG,  False
      7,   02__Station32__Camera1__2012-8-10__21-7-58(2).JPG,  False
      8,   02__Station32__Camera1__2012-8-10__21-8-10(2).JPG,  False
      9,   02__Station32__Camera1__2012-8-31__5-17-24(4).JPG,  False
     10,   02__Station32__Camera1__2012-8-31__5-17-30(0).JPG,  False
     11,   02__Station32__Camera1__2012-8-31__5-17-30(1).JPG,  False
     12,   02__Station32__Camera1__2012-8-31__5-17-34(4).JPG,  False
     13,   02__Station32__Camera1__2012-8-31__5-17-34(5).JPG,  False
     14,   02__Station32__Camera1__2012-8-31__5-17-36(6).JPG,  False
     15,   02__Station32__Camera1__2012-8-31__5-17-36(7).JPG,  False
     16,   02__Station32__Camera1__2012-9-16__0-48-20(7).JPG,  False
     17,   02__Station32__Camera1__2012-9-16__0-48-30(6).JPG,  False
     18,  02__Station33__Camera1__2012-8-25__16-16-52(3).JPG,  False
     19,   02__Station33__Camera1__2012-8-25__16-17-2(2).JPG,  False
     20,   02__Station33__Camera1__2012-8-25__16-17-4(3).JPG,  False
     21,    02__Station33__Camera1__2012-9-2__5-57-10(1).JPG,  False
     22,    02__Station33__Camera1__2012-9-2__5-57-24(9).JPG,  False
     23,    02__Station33__Camera1__2012-9-2__5-57-54(0).JPG,  False
     24,     02__Station33__Camera1__2012-9-2__5-58-2(0).JPG,  False
     25,    02__Station33__Camera1__2012-9-2__5-58-22(1).JPG,  False
     26,    02__Station33__Camera1__2012-9-2__5-58-22(3).JPG,  False
     27,    02__Station33__Camera1__2012-9-2__5-58-24(4).JPG,  False
     28,   02__Station35__Camera1__2012-8-11__3-54-38(1).JPG,  False
     29,   02__Station35__Camera1__2012-8-11__3-54-42(7).JPG,  False
     30,     02__Station35__Camera1__2012-9-1__4-25-0(5).JPG,  False
